Overall rank,Country or region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
32,Qatar,1.649,1.303,0.748,0.654,0.256,0.171
60,Kazakhstan,1.143,1.516,0.631,0.454,0.148,0.121
47,Italy,1.264,1.501,0.946,0.281,0.137,0.028
20,United Arab Emirates,2.096,0.776,0.67,0.284,0.186,0.182
86,China,0.989,1.142,0.799,0.597,0.029,0.103
153,Tanzania,0.455,0.991,0.381,0.481,0.27,0.097
63,Estonia,1.2,1.532,0.737,0.553,0.086,0.174
68,Turkmenistan,1.016,1.533,0.517,0.417,0.199,0.037
124,Kenya,0.493,1.048,0.454,0.504,0.352,0.055
8,New Zealand,1.268,1.601,0.876,0.669,0.365,0.389
15,Germany,1.34,1.474,0.861,0.586,0.273,0.28
67,Moldova,0.657,1.301,0.62,0.232,0.171,0.0
134,Niger,0.131,0.867,0.221,0.39,0.175,0.099
37,Colombia,0.96,1.439,0.635,0.531,0.099,0.039
58,Northern Cyprus,1.229,1.211,0.909,0.495,0.179,0.154
38,Trinidad & Tobago,1.223,1.492,0.564,0.575,0.171,0.019
116,Sri Lanka,0.918,1.314,0.672,0.585,0.307,0.05
102,Venezuela,0.996,1.469,0.657,0.133,0.056,0.052
28,Brazil,0.986,1.474,0.675,0.493,0.11,0.088
64,Paraguay,0.835,1.522,0.615,0.541,0.162,0.074
97,Bhutan,0.796,1.335,0.527,0.541,0.364,0.171
43,Bahrain,1.338,1.366,0.698,0.594,0.243,0.123
79,Greece,1.154,1.202,0.879,0.131,0.0,0.044
85,Morocco,0.779,0.797,0.669,0.46,0.026,0.074
