Overall rank,Country or region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
134,Niger,0.131,0.867,0.221,0.39,0.175,0.099
34,Singapore,1.529,1.451,1.008,0.631,0.261,0.457
86,China,0.989,1.142,0.799,0.597,0.029,0.103
18,United States,1.398,1.471,0.819,0.547,0.291,0.133
154,South Sudan,0.337,0.608,0.177,0.112,0.224,0.106
35,Malaysia,1.161,1.258,0.669,0.356,0.311,0.059
92,Kyrgyzstan,0.53,1.416,0.594,0.54,0.281,0.035
40,El Salvador,0.806,1.231,0.639,0.461,0.065,0.082
31,Uruguay,1.093,1.459,0.771,0.625,0.13,0.155
66,Kosovo,0.855,1.23,0.578,0.448,0.274,0.023
47,Italy,1.264,1.501,0.946,0.281,0.137,0.028
54,Japan,1.294,1.462,0.988,0.553,0.079,0.15
50,Lithuania,1.197,1.527,0.716,0.35,0.026,0.006
97,Bhutan,0.796,1.335,0.527,0.541,0.364,0.171
15,Germany,1.34,1.474,0.861,0.586,0.273,0.28
69,Hungary,1.171,1.401,0.732,0.259,0.061,0.022
38,Trinidad & Tobago,1.223,1.492,0.564,0.575,0.171,0.019
148,Haiti,0.315,0.714,0.289,0.025,0.392,0.104
16,Belgium,1.324,1.483,0.894,0.583,0.188,0.24
32,Qatar,1.649,1.303,0.748,0.654,0.256,0.171
91,Nigeria,0.689,1.172,0.048,0.462,0.201,0.032
3,Denmark,1.351,1.59,0.868,0.683,0.284,0.408
75,Pakistan,0.652,0.81,0.424,0.334,0.216,0.113
119,Namibia,0.874,1.281,0.365,0.519,0.051,0.064
70,Libya,0.985,1.35,0.553,0.496,0.116,0.148
120,Cambodia,0.549,1.088,0.457,0.696,0.256,0.065
67,Moldova,0.657,1.301,0.62,0.232,0.171,0.0
115,Bangladesh,0.532,0.85,0.579,0.58,0.153,0.144
110,Laos,0.72,1.034,0.441,0.626,0.23,0.174
107,Ivory Coast,0.541,0.872,0.08,0.467,0.146,0.103
62,Bolivia,0.751,1.223,0.508,0.606,0.141,0.054
42,Poland,1.176,1.448,0.781,0.546,0.108,0.064
152,Yemen,0.442,1.073,0.343,0.244,0.083,0.064
103,Gabon,1.036,1.164,0.404,0.356,0.032,0.052
105,South Africa,0.94,1.41,0.33,0.516,0.103,0.056
93,Bosnia and Herzegovina,0.915,1.078,0.758,0.28,0.216,0.0
109,Senegal,0.429,1.117,0.433,0.406,0.138,0.082
88,Tajikistan,0.474,1.166,0.598,0.292,0.187,0.034
145,Afghanistan,0.332,0.537,0.255,0.085,0.191,0.036
137,Sudan,0.605,1.24,0.312,0.016,0.134,0.082
142,Angola,0.73,1.125,0.269,0.0,0.079,0.061
113,Sierra Leone,0.256,0.813,0.0,0.355,0.238,0.053
11,United Kingdom,1.244,1.433,0.888,0.464,0.262,0.082
56,Jamaica,0.819,1.493,0.693,0.575,0.096,0.031
139,Togo,0.259,0.474,0.253,0.434,0.158,0.101
104,Palestinian Territories,0.642,1.217,0.602,0.266,0.086,0.076
143,Madagascar,0.262,0.908,0.402,0.221,0.155,0.049
63,Estonia,1.2,1.532,0.737,0.553,0.086,0.174
53,Latvia,1.148,1.454,0.671,0.363,0.092,0.066
146,Botswana,1.017,1.174,0.417,0.557,0.042,0.092
24,Mexico,1.038,1.252,0.761,0.479,0.069,0.095
39,Slovakia,1.21,1.537,0.776,0.354,0.118,0.014
155,Central African Republic,0.024,0.0,0.01,0.305,0.218,0.038
65,Peru,0.934,1.249,0.674,0.53,0.092,0.034
6,Netherlands,1.361,1.488,0.878,0.638,0.333,0.295
96,Indonesia,0.899,1.215,0.522,0.538,0.484,0.018
78,Serbia,0.975,1.369,0.685,0.288,0.134,0.043
68,Turkmenistan,1.016,1.533,0.517,0.417,0.199,0.037
73,Belarus,1.039,1.498,0.7,0.307,0.101,0.154
19,Israel,1.301,1.559,0.883,0.533,0.354,0.272
84,Algeria,0.979,1.154,0.687,0.077,0.055,0.135
156,Burundi,0.091,0.627,0.145,0.065,0.149,0.076
20,United Arab Emirates,2.096,0.776,0.67,0.284,0.186,0.182
89,Macedonia,0.959,1.239,0.691,0.394,0.173,0.052
126,Mauritania,0.557,1.245,0.292,0.129,0.134,0.093
14,Ireland,1.448,1.583,0.876,0.614,0.307,0.306
43,Bahrain,1.338,1.366,0.698,0.594,0.243,0.123
9,Sweden,1.355,1.501,0.913,0.659,0.285,0.383
22,Malta,1.27,1.525,0.884,0.645,0.376,0.142
144,Zimbabwe,0.357,1.094,0.248,0.406,0.132,0.099
102,Venezuela,0.996,1.469,0.657,0.133,0.056,0.052
36,Spain,1.251,1.538,0.965,0.449,0.142,0.074
147,Malawi,0.186,0.541,0.306,0.531,0.21,0.08
141,Lesotho,0.472,1.215,0.079,0.423,0.116,0.112
100,Bulgaria,1.054,1.515,0.712,0.359,0.064,0.009
136,Benin,0.378,0.372,0.24,0.44,0.163,0.067
128,Georgia,0.853,0.592,0.643,0.375,0.038,0.215
101,Nepal,0.425,1.228,0.539,0.526,0.302,0.078
132,Congo (Kinshasa),0.069,1.136,0.204,0.312,0.197,0.052
49,Belize,0.807,1.101,0.474,0.593,0.183,0.089
59,Russia,1.151,1.479,0.599,0.399,0.065,0.025
41,Nicaragua,0.668,1.319,0.7,0.527,0.208,0.128
135,Uganda,0.322,1.09,0.237,0.45,0.259,0.061
83,Dominican Republic,0.982,1.441,0.614,0.578,0.12,0.106
7,Canada,1.33,1.532,0.896,0.653,0.321,0.291
95,Vietnam,0.715,1.365,0.702,0.618,0.177,0.079
153,Tanzania,0.455,0.991,0.381,0.481,0.27,0.097
138,Ukraine,0.793,1.413,0.609,0.163,0.187,0.011
85,Morocco,0.779,0.797,0.669,0.46,0.026,0.074
8,New Zealand,1.268,1.601,0.876,0.669,0.365,0.389
76,Hong Kong,1.405,1.29,1.03,0.524,0.246,0.291
114,Congo (Brazzaville),0.682,0.811,0.343,0.514,0.091,0.077
130,Myanmar,0.682,1.174,0.429,0.58,0.598,0.178
72,Honduras,0.62,1.205,0.622,0.459,0.197,0.074
33,Saudi Arabia,1.379,1.331,0.633,0.509,0.098,0.127
149,Liberia,0.076,0.858,0.267,0.419,0.206,0.03
116,Sri Lanka,0.918,1.314,0.672,0.585,0.307,0.05
131,Chad,0.358,0.907,0.053,0.189,0.181,0.06
80,Lebanon,0.965,1.179,0.785,0.503,0.214,0.136
60,Kazakhstan,1.143,1.516,0.631,0.454,0.148,0.121
57,South Korea,1.266,1.204,0.955,0.244,0.175,0.051
94,Mongolia,0.914,1.517,0.575,0.395,0.253,0.032
122,Egypt,0.885,1.025,0.553,0.312,0.092,0.107
55,Mauritius,1.09,1.387,0.684,0.584,0.245,0.05
98,Somalia,0.0,0.712,0.115,0.674,0.238,0.282
2,Norway,1.456,1.582,0.861,0.686,0.286,0.34
4,Iceland,1.343,1.644,0.914,0.677,0.353,0.138
61,Cyprus,1.229,1.191,0.909,0.423,0.202,0.035
1,Finland,1.305,1.592,0.874,0.681,0.202,0.393
58,Northern Cyprus,1.229,1.211,0.909,0.495,0.179,0.154
29,Argentina,1.073,1.468,0.744,0.57,0.062,0.054
71,Philippines,0.775,1.312,0.513,0.643,0.12,0.105
82,Croatia,1.115,1.161,0.737,0.38,0.12,0.039
74,Turkey,1.148,1.38,0.686,0.324,0.106,0.109
99,Cameroon,0.535,0.891,0.182,0.454,0.183,0.043
112,Albania,0.916,0.817,0.79,0.419,0.149,0.032
52,Romania,1.116,1.219,0.726,0.528,0.088,0.001
45,Kuwait,1.474,1.301,0.675,0.554,0.167,0.106
30,Guatemala,0.781,1.268,0.608,0.604,0.179,0.071
118,Mali,0.37,1.233,0.152,0.367,0.139,0.056
108,Ghana,0.592,0.896,0.337,0.499,0.212,0.029
129,Armenia,0.816,0.99,0.666,0.26,0.077,0.028
46,Thailand,1.016,1.417,0.707,0.637,0.364,0.029
5,Switzerland,1.42,1.549,0.927,0.66,0.256,0.357
44,Uzbekistan,0.719,1.584,0.605,0.724,0.328,0.259
123,Mozambique,0.198,0.902,0.173,0.531,0.206,0.158
37,Colombia,0.96,1.439,0.635,0.531,0.099,0.039
21,Czech Republic,1.233,1.489,0.854,0.543,0.064,0.034
151,Rwanda,0.332,0.896,0.4,0.636,0.2,0.444
106,Iran,1.059,0.771,0.691,0.459,0.282,0.129
87,Azerbaijan,1.024,1.161,0.603,0.43,0.031,0.176
121,Burkina Faso,0.314,1.097,0.254,0.312,0.175,0.128
